Name,review,comment,reviews number,review date,likes number
Fayaz Hussain,5 stars,Nice parking 👌 easy access to arrived passengers. …,71 reviews,3 months ago,4
عبدالله ABDULLAH,4 stars,"A massive airport, built to handle millions of passengers. The busiest airport in the kingdom. Nice architecture. Clean . Well managed and maintained. Efficient security and immigration. There are three major areas. Domestic, international and Haj. In Domestic and international,   so many services and facilities, restaurants and Cafe's, children play areas, gift and souvenir shops, ATM'S, luxury brands, hotel, lounges, and much more. Comfortable and clean seating in waiting areas.",302 reviews,3 months ago,6
Zeeshan Arshad,4 stars,"This is one of the most busy airport in kingdom. Infrastructure is appealing, A big fish aquarium is one of the attractions here An improved version of this airport is good now. Many duty free shops, food points, coffee shops, banks and much more. Service is improved, staff is hard work,  immigration counter is active. Domestic operation is more good than international Maybe in future, it will get more flights. Please like this review if it's helpful for you.",302 reviews,6 months ago,17
Noorzidah M N,3 stars,"Spacious, big and clean airport. We checked in as early as 3hrs in advance. The female staff seems to be slow in doing their work. They pick and choose who they want to serve. Only 2 counters are open and they are served by male staff. If the other 2 females are willing to open their counters, then you get to be served by them. We have to take train to another terminal before departure. The train has 2 carriages but they only open 1 only so it's really very crammed.",315 reviews,3 months ago,6
Shahidul Islam,5 stars,"One of the most beautiful airport even seen before. Very big arrangement for our services. Interior decoration and themes is amazing at all. Passenger service is very good and comfortable and fast technology. Lot of duty free shops, coffee shop and others. For ablution and prayer facility remarkable. Thanks to Saudi Arabia for giving us such beautiful and easier life.",4 reviews,4 months ago,1
Xuzar,3 stars,"i have seen number of 5 stars for this airport, but not able to understand why all these 5 stars may be just by looks, yes no doubt airport looks very beautiful neat and clean, immigration process is also smooth, at security checks after check in most of people were no bothering about queues or anybody standing before them but again these are people may be its not airports fault this is not the reason i am giving less stars, my reasons are as follows apart from gates of restaurants there is not seating area available to relax or wait it was morning time before my flight i went to toilet and 1st thing found there was no toilet rolls and in that toilet area there was almost 6 sinks and tabs but only one was working strangely it was long queue for hand wash, i think management over there need to look into these small things although it is one of the best airport but these small things make huge difference for visitors",106 reviews,10 months ago,27
Tanvir Prince,5 stars,"I saw some bad reviews. But for me and my family everything went well. So I must give it a 5 star. The check in is very smooth. You can get one Zamzam water per passport. This may depend on the season and airlines. So please check with your airlines. We were four passengers and got four Zamzam water, 5L each, I believe.  I wish staff could speak English well. Sometimes it is difficult to understand what they are saying. There are plenty of shops and bathrooms all around.",81 reviews,5 months ago,5
Mohamed Alkharashy,1 star,"The new terminal is way better than the old terminals, however still way far from other important airports in the region. Average restaurants and small duty free shops are available The most important advice to all travellers : Be careful, Never, ever, put any valuable items in your check-in luggage, most likely, they will be robbed out of your bags.",267 reviews,4 months ago,12
Yousef Ahmed,5 stars,"One of the best airports I have been to since my young journey, maybe there's much amazing one, but as far, this airport wins. The architecture is perfect, attractive and modern. Transportation facilities are superiorly satisfactory, there are buses that takes passengers from down town to the terminal frequently. As well as, the train inside the building, which helps you to reach the gate faster.",26 reviews,8 months ago,4
Abdullah Abukashef,4 stars,"As it becomes confusing with direction and the naming of the airport! If you wish to get to the local flight! Then you need to google the following "" Jeddah new airport"". The airport has been renovated and still attracting many businesses. Really nice to navigate around but you need to get there at least an hour earlier. Almost everything you need/wish to buy is there tax-free.",20 reviews,6 months ago,2
Ele B,5 stars,"The airport is looking very modern and there are female workers too. I've been here 5 years ago and I can say confidently that so many things have changed. Also everything was smooth and on time, unlike other airports in Europe at the moment. I'm already so not looking forward to go to the mess in Schiphol Amsterdam 🥲 …",17 reviews,7 months ago,1
Cynthia EL-HAGE,5 stars,"One of the cleanest airports I’ve visited, So large, good light, ceiling and architecture are amazing, the Aquarium they have in the middle of the airport is great! They have multiple ATMs, shops, coffee shops, exchange offices. The toilets are extremely clean, waiting areas are cleaned regularly and the smell is always good. The SAR trains have a station there as well. No queues and all the staff is helpful.",54 reviews,3 days ago,
Mai Hilmy,5 stars,"A very well organized airport, where all the staff are welling to help. The decorations are breathtaking Quite limited number of restaurants/cafes are the departure terminals Quite close to the city And the good part is that it is connected to the Harramen train Rental cars' offices are there (but most of them are for local companies)",60 reviews,a month ago,1
Mohammed Alathamneh,4 stars,"You see clearly what is Saudi trying to achieve here, a modern, specious and beautiful airport. You may need to walk or even take the train to reach Your gate.  The staff Nice except for few officials in the Xray scanning area. Duty free can be larger.",207 reviews,2 months ago,2
Muhammad Hashir Fazal,3 stars,"Beautiful infrastructure with all modern facilities and almost all food/ beverages brands and multiple lounges. Multiple runways and hundreds of aircrafts can be parked at a time.  But extremely mismanaged airport with poorly trained staff. You can take anyone's luggage with no check and balance, staff is very rude and no customer service exists specifically security staff.  You can find ZamZam water on Intl Departure terminal B2.",343 reviews,5 months ago,5
AbdulAziz Abdullah N,4 stars,"New airport that running gradually and has large facilities. The area around airport still not running fully, there is barriers and Road diversions upon entire airport area. Still no first class lounge area from internal flight rather than the national airline, Saudia, other passengers who enjoy traveling with other airlines they will not find first class lounge. There are many restaurants and still they are going to open more. Comparing with old airport, this is definitely better.",65 reviews,a year ago,7
Aless T.,4 stars,"Pros: - huge airport, spacious and clean - comfortably connected to the train HHR train station - big parking available for cars - several food options, coffeeshop and fast foods mainly. Famous AlBaik is available too - prayer rooms availble with ablution area - bathrooms comfortably located every few meters, next to each gate  Cons: - no easy direct WiFi, process ro get WiFi password is to receive a token - many flights had gates changed - would be great if fragrance is added in bathrooms",73 reviews,2 months ago,2
Francis Mapacpac,4 stars,". King Abdulaziz International Airport - Jeddah . Excellent, extremely simple passport and check-in procedures . Very clean and organized airport . The interior design is stunning and very unique . Spacious check-in area . The airport staffs are nice & approachable . There are numerous charging station everywhere . There also a free Wi-Fi . Toilets are clean and properly maintained . Properly lighted and ventilated . The waiting areas have sufficient seats and comfortable . There are shops, coffee shops, souvenir shops & restaurant inside . There are ATM machines and money exchange center",168 reviews,4 months ago,3
Muhammad Umer,5 stars,Huge and beautiful airport. With great facilities. Nice staff.,82 reviews,a year ago,6
James Evans,4 stars,"Transited through here for a few hours via Saudia Airlines. Very new airport. Plenty of seating areas and nice clean facilities. Somewhat good selection of places to eat. Only real downside is I couldn't get the free WiFi to work. Staff experience is okay, can be rude and unhelpful at times.",39 reviews,3 months ago,
كن متميزاً,5 stars,"- Very clean and smells good. - Arranged and all services are easy and accessible. - This hall is new. There is a beautiful Aquarium in the middle of the hall. - There are restaurants, but not very many. - Serves during Hajj and Umrah periods  One of the best airports I've ever been to.😎🌹",78 reviews,3 months ago,
Fhirnaz Ahamed,4 stars,"Beautiful Airport, there are lots of Restaurants and Lounges, the only problem is the Washrooms, those cleaning guys locked most of the washrooms and just opened few, apparently they don’t wanna clean all of they so they kept passengers waiting,",186 reviews,5 months ago,3
Hossam M. Rezk,5 stars,Lovely modern airport with easy access and signs explain everything clean organized and well designed and decorated all facilities are available all amenities are available Wi-Fi is ok coffee and restaurants are available it is truly lovely place you would like to travel to and from,60 reviews,11 months ago,2
Elie Najem (NajeX),5 stars,"Very well organized airport, very polite professional saudi arabian staff who are always ready to help you with a smile on the face, wide beautiful big airport with lots of shops! Easy to navigate, i never had any trouble while transiting or just taking a domestic flight. A formula 1 car will await you on your arrivle next to a gigantic aquarium full of tons of fishes and creatures from the sea! A way to forsee the future !!",79 reviews,2 months ago,
